src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
qlp,10001125074,?.01,EB,339.82089,-26.51014,13.334,0.17,1354.324661,0,0.204572,0,0.778732,0,3760,0,2,2018-09-28 18:09:02.249682+00:00,2018-10-05 15:47:22.391696+00:00
qlp,373846491,?.01,IS,81.49119,-66.29,11.891,0.017,1340.123299,0,0.104016,0,0.092391,0,14160,0,2,2018-09-28 18:09:02.360588+00:00,2018-10-05 15:47:22.387227+00:00
qlp,237916140,?.01,IS,56.44921,-61.10691,12.543,0.018,1327.165219,0,0.104145,0,0.031194,0,31030,0,2,2018-09-28 18:09:02.626907+00:00,2018-10-05 15:47:22.382783+00:00
qlp,272187898,?.01,V,116.79747,-73.92779,12.351,0.018,1325.734521,0,0.20948,0,0.592443,0,1120,0,2,2018-09-28 18:09:02.649284+00:00,2018-10-05 15:47:22.378313+00:00
qlp,294753944,?.01,IS,71.12458,-67.02931,13.313,0.018,1325.741894,0,0.745414,0,2.195453,0,1570,0,2,2018-09-28 18:09:02.737454+00:00,2018-10-05 15:47:22.373849+00:00
qlp,51939266,?.01,V,15.17591,-71.521,12.137,0.9,1354.920023,0,0.923027,0,3.351474,0,2750,0,2,2018-09-28 18:09:02.782305+00:00,2018-10-05 15:47:22.369324+00:00
qlp,140974358,?.01,IS,78.02478,-72.84604,12.474,0.032,1326.134684,0,0.104011,0,0.131129,0,4890,0,2,2018-09-28 18:09:02.804619+00:00,2018-10-05 15:47:22.364835+00:00
qlp,179444790,?.01,EB,80.29936,-67.91644,12.719,0.017,1326.001311,0,0.981742,0,4.142637,0,7050,0,2,2018-09-28 18:09:02.871124+00:00,2018-10-05 15:47:22.360351+00:00
qlp,179509310,?.01,EB,80.37216,-69.51352,13.381,0.041,1354.422752,0,1.141136,0,3.521181,0,13040,0,2,2018-09-28 18:09:02.984799+00:00,2018-10-05 15:47:22.355690+00:00
qlp,231017065,?.01,V,27.12444,-55.18786,13.239,0.024,1354.230982,0,0.302501,0,0.732754,0,2240,0,2,2018-09-28 18:09:03.030603+00:00,2018-10-05 15:47:22.351225+00:00
qlp,231069080,?.01,V,32.52177,-58.47254,11.288,0.75,1356.250391,0,4.706598,0,13.078318,0,2090,0,2,2018-09-28 18:09:03.207796+00:00,2018-10-05 15:47:22.346731+00:00
qlp,50346962,?.01,EB,32.25159,-72.83746,13.265,0.031,1354.693842,0,3.895445,0,2.86175,0,4890,0,2,2018-09-28 18:09:03.495320+00:00,2018-10-05 15:47:22.342261+00:00
qlp,10000298001,?.01,IS,75.374,-63.29334,13.177,0.17,1327.048628,0,0.104011,0,0.134549,0,3270,0,2,2018-09-28 18:09:03.584241+00:00,2018-10-05 15:47:22.337775+00:00
qlp,179444779,?.01,V,80.40686,-67.91348,13.43,0.079,1325.816873,0,0.73986,0,6.540481,0,5730,0,2,2018-09-28 18:09:03.718007+00:00,2018-10-05 15:47:22.333258+00:00
qlp,24672429,?.01,PC,34.50072,-73.34987,12.749,0.018,1354.526029,0,4.438601,0,4.164118,0,2750,0,2,2018-09-28 18:09:03.785428+00:00,2018-10-05 15:47:22.328795+00:00
qlp,180443348,?.01,V,15.07747,-39.93469,12.734,0.018,1354.355013,0,0.180752,0,0.584335,0,2140,0,2,2018-09-28 18:09:03.807747+00:00,2018-10-05 15:47:22.324329+00:00
qlp,272186659,?.01,V,116.52064,-75.74757,11.231,0.018,1326.086778,0,0.450557,0,1.942297,0,2760,0,2,2018-09-28 18:09:03.918206+00:00,2018-10-05 15:47:22.319840+00:00
qlp,206366200,?.01,V,357.26763,-50.71148,11.582,0.018,1344.823811,0,3.0375,0,2.257713,0,3550,0,2,2018-09-28 18:09:04.007489+00:00,2018-10-05 15:47:22.315325+00:00
qlp,179583231,?.01,EB,80.7494,-69.83781,13.422,0.017,1357.681277,0,4.219219,0,5.006356,0,20860,0,2,2018-09-28 18:09:04.140886+00:00,2018-10-05 15:47:22.310817+00:00
qlp,207176440,?.01,EB,47.04067,-59.58351,13.086,0.018,1354.40028,0,0.229383,0,0.68903,0,5300,0,2,2018-09-28 18:09:04.163233+00:00,2018-10-05 15:47:22.306354+00:00
qlp,149124850,?.01,IS,81.12535,-64.89866,13.274,0.019,1326.32135,0,4.524205,0,6.136994,0,2640,0,2,2018-09-28 18:09:04.185697+00:00,2018-10-05 15:47:22.301902+00:00
qlp,167244928,?.01,V,97.31801,-67.13458,12.074,0.37,1325.727613,0,0.230139,0,0.892847,0,3320,0,2,2018-09-28 18:09:04.340827+00:00,2018-10-05 15:47:22.297391+00:00
qlp,179509229,?.01,EB,80.36651,-69.50451,11.097,0.017,1354.771837,0,3.799068,0,7.594185,0,1650,0,2,2018-09-28 18:09:04.732260+00:00,2018-10-05 15:47:22.292897+00:00
qlp,149103941,?.01,IS,80.60853,-65.07358,13.278,0.017,1325.868248,0,2.358609,0,6.154837,0,2210,0,2,2018-09-28 18:09:04.778828+00:00,2018-10-05 15:47:22.288345+00:00
qlp,240720805,?.01,EB,340.04735,-15.98433,12.318,0.064,1356.0246,0,1.88248,0,4.176847,0,44600,0,2,2018-09-28 18:09:04.892600+00:00,2018-10-05 15:47:22.283845+00:00
qlp,10000297496,?.01,IS,72.61144,-61.3455,13.239,1,1326.298754,0,0.767102,0,1.812877,0,1820,0,2,2018-09-28 18:09:05.005180+00:00,2018-10-05 15:47:22.279313+00:00
qlp,40280714,?.01,IS,77.07775,-66.12372,13.434,0.017,1327.483988,0,2.794668,0,5.006927,0,2760,0,2,2018-09-28 18:09:05.207743+00:00,2018-10-05 15:47:22.274872+00:00
qlp,76989773,182.01,PC,353.294,-35.46399,9.623,0.019,1355.079335,0,1.769565,0,1.951052,0,9310,0,2,2018-09-28 22:22:03.976973+00:00,2018-10-05 15:47:22.270292+00:00
qlp,114913351,?.01,V,3.45757,-22.64415,13.206,0.019,1364.946538,0,3.619165,0,1.877044,0,21980,0,2,2018-09-28 18:09:02.006360+00:00,2018-10-05 15:47:22.265810+00:00
qlp,169764921,?.01,V,351.13482,-17.62897,7.67,0.017,1356.219691,0,2.576239,0,7.322496,0,310,0,2,2018-09-28 22:22:04.039373+00:00,2018-10-05 15:47:22.261268+00:00
qlp,12358919,?.01,V,0.46098,-29.01678,10.099,0.018,1355.080317,0,2.423381,0,5.671875,0,670,0,2,2018-09-28 22:22:04.101438+00:00,2018-10-05 15:47:22.256718+00:00
qlp,211438925,194.01,PC,5.16056,-23.93579,10.211,0.018,1356.56692,0,4.897987,0,3.51362,0,10640,0,2,2018-09-28 18:08:54.959298+00:00,2018-10-05 15:47:22.252205+00:00
qlp,89547212,?.01,V,358.16629,-18.56189,6.766,0.018,1354.245601,0,0.293383,0,2.329226,0,330,0,2,2018-09-28 18:09:02.161559+00:00,2018-10-05 15:47:22.247696+00:00
qlp,355636844,146.01,PC,358.30149,-56.01304,10.241,0.019,1330.560615,0,6.301704,0,2.918949,0,480,0,2,2018-09-28 18:09:00.564495+00:00,2018-10-05 15:47:22.243216+00:00
qlp,116417429,?.01,EB,8.00865,-41.01386,9.456,0.02,1354.728617,0,1.077104,0,1.237722,0,330,0,2,2018-09-29 00:33:33.187051+00:00,2018-10-05 15:47:22.238663+00:00
qlp,165880674,?.01,V,1.57423,-43.73628,9.993,0.019,1354.441443,0,0.557255,0,4.310345,0,840,0,2,2018-09-29 00:33:33.308749+00:00,2018-10-05 15:47:22.234099+00:00
qlp,20897612,?.01,EB,1.48935,-20.64877,9.935,0.018,1356.101583,0,3.135187,0,1.29571,0,5210,0,2,2018-09-28 22:22:04.616025+00:00,2018-10-05 15:47:22.229519+00:00
qlp,20892672,?.01,PC,1.39897,-19.48943,12.378,0.127,1356.497608,0,3.110209,0,2.646166,0,6110,0,2,2018-09-28 22:22:04.678161+00:00,2018-10-05 15:47:22.224915+00:00
qlp,70858252,?.01,IS,3.13663,-30.86081,7.961,0.018,1356.261096,0,4.942695,0,6.475721,0,290,0,2,2018-09-28 22:22:04.821535+00:00,2018-10-05 15:47:22.220346+00:00
qlp,47316976,?.01,PC,340.30769,-28.03266,8.948,0.017,1364.459269,0,11.639324,0,6.676316,0,1570,0,2,2018-09-28 22:22:05.612683+00:00,2018-10-05 15:47:22.215808+00:00
qlp,12421862,198.01,PC,2.27151,-27.12175,9.853,0.04,1356.370257,0,10.217667,0,2.704821,0,1060,0,2,2018-09-28 18:08:55.622265+00:00,2018-10-05 15:47:22.211274+00:00
qlp,12417850,?.01,IS,1.81579,-27.63819,13.306,0.071,1357.581405,0,3.60724,0,2.004183,0,5400,0,2,2018-09-28 18:08:55.711516+00:00,2018-10-05 15:47:22.206756+00:00
qlp,441462736,197.01,PC,353.03319,-21.8012,7.303,0.017,1357.005123,0,9.495218,0,8.354273,0,820,0,2,2018-09-28 22:22:05.887745+00:00,2018-10-05 15:47:22.202021+00:00
qlp,65259588,?.01,V,359.25345,-27.92326,10.03,0.019,1354.630913,0,0.98962,0,4.241195,0,470,0,2,2018-09-28 22:22:05.908256+00:00,2018-10-05 15:47:22.197466+00:00
qlp,419064160,?.01,IS,3.86028,-22.14471,12.09,0.8,1355.291103,0,1.211098,0,5.20869,0,4560,0,2,2018-09-28 22:22:06.072248+00:00,2018-10-05 15:47:22.192959+00:00
