src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
spoc,219335256,?.01,EB,354.040527,-55.82339,10.434,0.018,1325.4817,0.000611,0.274167,1.4e-05,0.945705,0.17084,775.854893,42.656246,1,2018-08-30 14:17:48.196297+00:00,2018-08-31 20:38:10.208695+00:00
spoc,219338557,00133.01,PC,354.395739,-58.954636,9.883,0.018,1327.291396,0.002752,8.1952,0.001473,2.309555,0.457632,946.435776,82.18145,1,2018-08-30 14:17:48.249502+00:00,2018-08-31 20:38:10.203996+00:00
spoc,181043668,?.01,EB,13.217433,-72.582056,10.391,0.018,1325.422588,0.003657,1.042081,0.000251,1.941807,0.528209,388.08874,46.344692,1,2018-08-30 14:17:41.374406+00:00,2018-08-31 20:38:10.199167+00:00
spoc,197760286,?.01,PC,331.507301,-37.285162,9.574,0.017,1325.494615,0.000563,0.601284,2.2e-05,1.324925,0.044163,2136.21925,57.088097,1,2018-08-30 14:17:41.947921+00:00,2018-08-31 20:38:10.194437+00:00
spoc,201248411,00129.01,PC,0.187097,-54.830506,9.82357,0.016928,1326.10419,0.000156,0.980971,1e-05,0.76067,0.014493,7050.947099,111.15762,1,2018-08-30 14:17:42.538451+00:00,2018-08-31 20:38:10.189474+00:00
spoc,206505336,?.01,IS,332.424436,-19.889275,8.87,0.019,1325.995145,0.00569,14.600101,0.008053,6.084811,0.603622,419.594058,60.8801,1,2018-08-30 14:17:43.318218+00:00,2018-08-31 20:38:10.184753+00:00
spoc,207081058,00121.01,PC,331.867232,-41.815456,9.929,0.019,1336.139719,0.00037,14.775056,0.000529,5.449073,0.03672,14107.169661,98.28256,1,2018-08-30 14:17:43.865909+00:00,2018-08-31 20:38:10.180000+00:00
spoc,211376134,?.01,PC,320.741066,-32.488102,10.134,0.018,1327.173264,0.004851,7.069249,0.003523,3.071686,0.592585,973.449262,135.02127,1,2018-08-30 14:17:43.989819+00:00,2018-08-31 20:38:10.175202+00:00
spoc,211380233,?.01,EB,321.022,-30.6171,12.072,0.04,1329.804111,0.003462,4.637339,0.001108,3.065831,0.449538,2959.665916,290.72522,1,2018-08-30 14:17:44.029501+00:00,2018-08-31 20:38:10.170427+00:00
spoc,212297095,?.02,IS,309.461461,-24.844992,10.112,0.018,1329.350486,0.001635,13.523096,0.002315,1.428185,0.30312,3249.156494,399.19543,1,2018-08-30 14:17:44.731606+00:00,2018-08-31 20:38:10.165523+00:00
spoc,235037759,?.01,EB,353.8331,-64.5562,13.108,0.059,1326.068883,0.001859,6.240924,0.000843,1.413129,0.195981,64026.727394,5895.2715,1,2018-08-30 14:17:53.098325+00:00,2018-08-31 20:38:10.160805+00:00
spoc,235037761,00131.01,PC,353.826767,-64.561769,9.737,0.018,1326.068952,0.000449,6.240662,0.000179,1.569129,0.040222,9113.476719,231.65656,1,2018-08-30 14:17:53.137637+00:00,2018-08-31 20:38:10.156101+00:00
spoc,237915523,?.01,IS,56.185547,-61.098292,8.949,0.018,1329.06423,0.021461,13.245841,0.028408,5.797626,1.716404,322.164168,1235.972,1,2018-08-30 14:17:53.465235+00:00,2018-08-31 20:38:10.151348+00:00
spoc,237915523,?.03,EB,56.185547,-61.098292,8.949,0.018,1332.618653,-1.0,18.452771,-1.0,9.0,-1.0,407.48514,-1.0,1,2018-08-30 14:17:53.494042+00:00,2018-08-31 20:38:10.146491+00:00
spoc,238176110,00116.01,PC,357.84526,-70.152863,10.991,0.019,1326.689274,0.00026,2.798594,4.9e-05,2.366459,0.022664,16879.449837,101.11358,1,2018-08-30 14:17:53.682188+00:00,2018-08-31 20:38:10.141780+00:00
spoc,259864042,?.01,V,40.325365,-68.923721,14.935,0.101,1325.703664,0.000124,0.460796,4e-06,0.343304,0.01979,111524.186504,3741.3599,1,2018-08-30 14:17:54.125967+00:00,2018-08-31 20:38:10.136964+00:00
spoc,260043723,00217.01,PC,91.608606,-58.953644,8.711,0.018,1327.063474,0.007177,3.138597,0.001526,5.417542,0.473152,474.906211,79.06796,1,2018-08-30 14:17:54.309682+00:00,2018-08-31 20:38:10.132265+00:00
spoc,260271203,00207.01,EB,94.218078,-58.229816,13.42,0.019,1330.096281,0.001033,5.649772,0.000416,4.016741,0.069383,44040.855113,778.5314,1,2018-08-30 14:17:54.541250+00:00,2018-08-31 20:38:10.127231+00:00
spoc,260304277,?.01,EB,94.619668,-56.999973,7.775,0.017,1325.77874,0.000987,0.512647,3.8e-05,0.953702,0.152729,209.948617,15.325838,1,2018-08-30 14:17:54.582796+00:00,2018-08-31 20:38:10.122508+00:00
spoc,212354618,?.01,IS,310.477662,-27.215966,8.541,0.017,1329.545771,0.002476,13.669579,0.003499,1.16698,0.759542,594.154587,128.96756,1,2018-08-30 14:17:45.106217+00:00,2018-08-31 20:38:10.117755+00:00
spoc,214299966,?.03,PC,339.168005,-36.944102,10.416,0.019,1325.498047,0.001754,3.06757,0.000342,1.843319,0.272956,1284.475511,102.42698,1,2018-08-30 14:17:45.310862+00:00,2018-08-31 20:38:10.112897+00:00
spoc,214517366,?.01,PC,340.440272,-38.483191,10.4,0.017,1330.961811,0.000504,20.961624,0.000692,4.050094,0.289931,37177.468378,8094.3467,1,2018-08-30 14:17:45.460001+00:00,2018-08-31 20:38:10.108080+00:00
spoc,220401282,?.01,IS,69.413169,-58.897808,11.147,0.018,1327.202425,0.012794,14.012921,0.018009,15.322411,1.283924,903.909267,105.93749,1,2018-08-30 14:17:48.506549+00:00,2018-08-31 20:38:10.103343+00:00
spoc,220453894,?.01,V,74.105821,-59.063156,9.629,0.019,1325.434511,0.000789,0.232383,1.9e-05,0.452402,0.132184,280.100859,40.673435,1,2018-08-30 14:17:48.546502+00:00,2018-08-31 20:38:10.098561+00:00
